Codice1;Codice2;Colore;Collezione;Materiale
10FD;10FD;MOKA;IMOLA;PELLE
10FE;10FE;FC_YELLOW;IMOLA;PELLE
10FE;10FE;GIALLO AVENA;IMOLA;PELLE
10FG;10FG;BEIGE;SANMARCO;PELLE
10FH;10FH;NERO;SANMARCO;PELLE
10FI;10FI;ROSSO;SANMARCO;PELLE
10FL;10FL;BIANCO FREDDO;SANMARCO;PELLE
10FM;10FM;BEIGE CH. MX ROSA;SANMARCO;PELLE
10FN;10FN;TESTA DI MORO;SANMARCO;PELLE
10FP;10FP;LILLA;SANMARCO;PELLE
10FQ;10FQ;VERDE;SANMARCO;PELLE
10FR;10FR;ANTRACITE;SANMARCO;PELLE
10FS;10FS;TORTORA SCURO;SANMARCO;PELLE
10FT;10FT;GRIGIO SCURO;SANMARCO;PELLE
10FU;10FU;GREIGE CHIARO;SANMARCO;PELLE
10FV;10FV;BIANCO OTTICO;SANMARCO;PELLE
10FW;10FW;GIALLO;SANMARCO;PELLE
10GA;10GA;ROSSO;SCULPTURE;PELLE
10GB;10GB;BORDEAUX;SCULPTURE;PELLE
10GC;10GC;BLU;SCULPTURE;PELLE
10GD;10GD;NERO;SCULPTURE;PELLE
10GE;10GE;COGNAC;SCULPTURE;PELLE
10GG;10GG;BEIGE;SCULPTURE;PELLE
10GH;10GH;TORTORA;SCULPTURE;PELLE
10GI;10GI;CAMOSCIO;SCULPTURE;PELLE
10GL;10GL;VERDE;SCULPTURE;PELLE
10GM;10GM;ROSSO PORTO;SCULPTURE;PELLE
10GN;10GN;ROSSO MOGANO;SCULPTURE;PELLE
10GP;10GP;CASTAGNA;COLORADO 3;PELLE
10GT;10GT;CORDA;COLORADO 3;PELLE
10HA;10HA;FC_BROWN;INTERLAGOS;PELLE
10HA;10HA;MARRONE CHIARO;INTERLAGOS;PELLE
10HB;10HB;BORDEAUX;INTERLAGOS;PELLE
10HB;10HB;FC_BURGUNDY;INTERLAGOS;PELLE
10HC;10HC;FC_BROWN;INTERLAGOS;PELLE
10HC;10HC;MARRONE SCURO1;INTERLAGOS;PELLE
10HD;10HD;CASTAGNA;COLORADO;PELLE
10HE;10HE;MARRONE;COLORADO;PELLE
10HE;10HE;MOGANO;COLORADO;PELLE
10HF;10HF;MARRONE SCURO;COLORADO;PELLE
10HG;10HG;SASSO;COLORADO;PELLE
10HH;10HH;CORDA;COLORADO;PELLE
10HI;10HI;SABBIA;COLORADO;PELLE
10HL;10HL;GIALLO MAIS;COLORADO;PELLE
10HM;10HM;ACQUA;COLORADO;PELLE
10HM;10HM;VERDE ACQUA;COLORADO;PELLE
10HN;10HN;ROSSO TROPICALE;COLORADO;PELLE
10HP;10HP;ANTRACITE 2;COLORADO;PELLE
10HQ;10HQ;CANNA DI FUCILE;COLORADO;PELLE
10HR;10HR;SPIAGGIA;COLORADO;PELLE
10HS;10HS;TOAST;COLORADO;PELLE
10HT;10HT;GRAFITE;COLORADO;PELLE
10HU;10HU;AVORIO;COLORADO 2;PELLE
10HU;10HU;FC_WHITE;COLORADO 2;PELLE
10HV;10HV;ANTRACITE;COLORADO;PELLE
10HZ;10HZ;GRE SC MX GRI;COLORADO;PELLE
10IA;10IA;AVORIO;BRENTA;PELLE
10IB;10IB;MARRONE;BRENTA;PELLE
10IC;10IC;BORDEAUX;BRENTA;PELLE
10ID;10ID;NERO;BRENTA;PELLE
10IE;10IE;BEIGE;BRENTA;PELLE
10IF;10IF;TORTORA;BRENTA;PELLE
10IG;10IG;CAMOSCIO;BRENTA;PELLE
10IH;10IH;VERDE;BRENTA;PELLE
10II;10II;COGNAC;BRENTA;PELLE
10IL;10IL;ROSSO PORTO;BRENTA;PELLE
10IM;10IM;ROSSO MOGANO;BRENTA;PELLE
